owner_acronym,total_entries,total_contracts,total_amendments
pspc,115,101,14
tbs,93,88,5
esdc,77,75,2
cra,66,65,1
dnd,65,61,4
ircc,44,44,0
ic,43,43,0
cbsa,40,39,1
rcmp,40,39,1
ssc,37,33,4
gac,26,24,2
cfia,23,23,0
stats,22,22,0
nrc,21,18,3
ec,19,19,0
just,18,14,4
psc,16,15,1
pptc,16,16,0
tc,15,14,1
hc,15,14,1
cnsc,14,14,0
phac,14,14,0
dfo,12,11,1
nrcan,12,12,0
csc,12,12,0
lac,12,11,1
pc,12,12,0
fintrac,11,11,0
infra,10,10,0
pch,10,10,0
ps,9,9,0
agr,9,9,0
inac,9,9,0
vac,7,7,0
pco,7,7,0
elections,6,6,0
acoa,5,5,0
ced,5,5,0
csa,5,5,0
fin,4,4,0
nserc,3,3,0
csps,3,3,0
cihr,3,3,0
fcac,2,2,0
mgerc,2,2,0
atssc,2,2,0
osfi,2,2,0
crtc,2,2,0
feddev,2,1,1
cta,1,1,0
oag,1,1,0
ocol,1,1,0
ppsc,1,1,0
